school_name,curriculum,spea_rating,area,tuition_nursery_ecc,tuition_fs1,tuition_fs2,tuition_primary,tuition_secondary_y7_9,tuition_gcse_y10_11,tuition_sixth_form_y12_13,fee_currency,fee_period,spea_lowest_fee,spea_highest_fee,transport_fee_min_aed,transport_fee_max_aed,transport_notes,source_url,pdf_url,notes
Al Ahliah Charity Pvt. School For Boys â€“ BR4,Moe,Acceptable,Sharjah - Samnan,,,,,,,,,Annual,,,,,,https://spea.shj.ae/en/educational-institutions/schools/435,https://spea.shj.ae/media/ur0gbza5/speaschoolfees_435.pdf,No fee data extracted
Al Amaal English High School (PVT),Pakistani,Acceptable,Sharjah - Al Butainah,4557.0,,,5367.0,5367.0,7797.0,7797.0,AED,Annual,4557.0,7797.0,,,,https://spea.shj.ae/en/educational-institutions/schools/200,https://spea.shj.ae/media/icanu5hq/speaschoolfees_200.pdf,
AL Ahliah Charity Pvt. School,Moe,Good,Sharjah - Al Naseriyah,,,,5335.0,,,,AED,Annual,5335.0,5335.0,,,,https://spea.shj.ae/en/educational-institutions/schools/100,https://spea.shj.ae/media/zvtiux4y/feestructure_2025-2026_al_ahliah_charity_pvt_school_llc_sp_al_nasiriyah.pdf,
AL AHLIAH CHARITY PVT. SCHOOL - FALAJ BRANCH,Moe,Good,Sharjah - Al Falaj,,,,5269.0,5971.0,,,AED,Annual,5269.0,5971.0,,,,https://spea.shj.ae/en/educational-institutions/schools/213,https://spea.shj.ae/media/so5l402k/speaschoolfees_213.pdf,
Al Amal School For The Deaf - Branch 1,Moe,Not Reviewed,Eastern Region - Khorfakkan,30000.0,,,30790.0,30885.0,31140.0,31120.0,AED,Annual,30000.0,31140.0,,,,https://spea.shj.ae/en/educational-institutions/schools/387,https://spea.shj.ae/media/4kkdpc3u/speaschoolfees_387.pdf,
Al Ahliah Pvt. Schools LLC.,Moe,Good,Sharjah - Al Yarmouk,4685.0,,,,,,,AED,Annual,4685.0,4685.0,,,,https://spea.shj.ae/en/educational-institutions/schools/118,https://spea.shj.ae/media/mrbgds5q/%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D8%A7%D9%84%D8%A7%D9%87%D9%84%D9%8A%D8%A9-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5%D8%A9-%D9%81%D8%B1%D8%B9-%D8%A7%D9%84%D9%8A%D8%B1%D9%85%D9%88%D9%83.pdf,
Al Ahliah Charity Pvt. School For Girls â€“ BR3,Moe,Not Reviewed,Sharjah - Al Jazzat,,,,,,,,,Annual,,,,,,https://spea.shj.ae/en/educational-institutions/schools/434,https://spea.shj.ae/media/zdghisre/%D8%A7%D9%84%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D8%A7%D9%84%D8%A3%D9%87%D9%84%D9%8A%D8%A9-%D8%A7%D9%84%D8%AE%D9%8A%D8%B1%D9%8A%D8%A9-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5%D8%A9-%D8%A7%D9%84%D8%A8%D9%86%D8%A7%D8%AA.pdf,No fee data extracted
Al Amal School For The Deaf,Moe,Good,Sharjah - Al Yarmouk,30000.0,,,30790.0,30885.0,31140.0,31120.0,AED,Annual,30000.0,31140.0,,,,https://spea.shj.ae/en/educational-institutions/schools/216,https://spea.shj.ae/media/0gvlflqz/speaschoolfees_216.pdf,
AL Ahliah Charity Pvt. School - Branch 2,Moe,Good,Sharjah - Al Qadisiya,,,,,,,,,Annual,,,,,,https://spea.shj.ae/en/educational-institutions/schools/211,https://spea.shj.ae/media/2kxn1ixs/%D8%A7%D9%84%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D8%A7%D9%84%D8%A3%D9%87%D9%84%D9%8A%D8%A9-%D8%A7%D9%84%D8%AE%D9%8A%D8%B1%D9%8A%D8%A9-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5%D8%A9-%D9%81%D8%B1%D8%B9-2-%D8%A7%D9%84%D9%82%D8%A7%D8%AF%D8%B3%D9%8A%D8%A9.pdf,No fee data extracted
Al Ahliah Pvt. Schools LLC.BR1,Moe,Good,Sharjah - Al Ghubaiba,,,,,,,,,Annual,,,,,,https://spea.shj.ae/en/educational-institutions/schools/160,https://spea.shj.ae/media/a0nlhrtu/speaschoolfees.pdf,No fee data extracted
Al Amana Private School,British,Acceptable,Sharjah - Al Ramla,,9670.0,9670.0,11948.0,12890.0,14120.0,14656.0,AED,Annual,9670.0,14656.0,,,,https://spea.shj.ae/en/educational-institutions/schools/127,https://spea.shj.ae/media/0udcapjt/speaschoolfees_127.pdf,
Al Choueifat Int. School,Sabis,Good,Sharjah - Industrial Area 6,21600.0,,,27400.0,31900.0,35900.0,36300.0,AED,Annual,21600.0,36300.0,,,,https://spea.shj.ae/en/educational-institutions/schools/162,https://spea.shj.ae/media/53wllkyj/speaschoolfees_162.pdf,
Al Bayan National School,Moe,Acceptable,Sharjah - Al Hazana,5276.0,,,7837.0,8835.0,,,AED,Annual,5276.0,8835.0,,,,https://spea.shj.ae/en/educational-institutions/schools/204,https://spea.shj.ae/media/qywpvrrn/speaschoolfees_204.pdf,
Al Dhaid Pvt. School,Moe,Good,Central Region - Al Dhaid,4000.0,,,6000.0,10000.0,,,AED,Annual,4000.0,10000.0,,,,https://spea.shj.ae/en/educational-institutions/schools/105,https://spea.shj.ae/media/bbscgd3y/speaschoolfees_105.pdf,
AL DHIA AL SCIENTIFIC PRIVATE SCHOOL LLC,Moe,Acceptable,Sharjah - Al Ghubaiba,5174.0,,,9543.0,11670.0,,,AED,Annual,5174.0,11670.0,,,,https://spea.shj.ae/en/educational-institutions/schools/192,https://spea.shj.ae/media/d02j5wf2/speaschoolfees_192.pdf,
AL DURRAH INTERNATIONAL SCHOOL LLC,American,Good,Sharjah - Industrial Area 8,18070.0,,,,,,,AED,Annual,18070.0,18070.0,,,,https://spea.shj.ae/en/educational-institutions/schools/132,https://spea.shj.ae/media/sryapy5c/%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D8%A7%D9%84%D8%AF%D8%B1%D8%A9-%D8%A7%D9%84%D8%AF%D9%88%D9%84%D9%8A%D8%A9.pdf,
Al Bayan Pvt.School,Moe,Good,Eastern Region - Khorfakkan - Al Qadisiya,4570.0,,,,,,,AED,Annual,4570.0,4570.0,,,,https://spea.shj.ae/en/educational-institutions/schools/158,https://spea.shj.ae/media/w0tir2il/%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D8%A7%D9%84%D8%A8%D9%8A%D8%A7%D9%86-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5%D8%A9.pdf,
Al Basaier Pvt. School,Moe,Good,Sharjah - Shargan,7680.0,,,,,,,AED,Annual,7680.0,7680.0,,,,https://spea.shj.ae/en/educational-institutions/schools/176,https://spea.shj.ae/media/vwypfehz/%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D8%A7%D9%84%D8%A8%D8%B5%D8%A7%D8%A6%D8%B1-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5%D8%A9.pdf,
AL ANSAR NATIONAL PVT SCHOOL,Moe,Not Reviewed,Sharjah - Al Qarain 3,,,,32500.0,34500.0,41000.0,43000.0,AED,Annual,32500.0,43000.0,,,,https://spea.shj.ae/en/educational-institutions/schools/441,https://spea.shj.ae/media/lwvluvz3/speaschoolfees_441.pdf,
Al Istiqlal Private School L.L.C,Moe,Good,Sharjah - Muwailih,5265.0,,,,,,,AED,Annual,5265.0,5265.0,,,,https://spea.shj.ae/en/educational-institutions/schools/190,https://spea.shj.ae/media/v0bgajlx/%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D8%A7%D9%84%D8%A7%D8%B3%D8%AA%D9%82%D9%84%D8%A7%D9%84-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5%D8%A9.pdf,
Al Itqan American School Pvt,American,Good,Sharjah - Al Azra,13020.0,,,,,,,AED,Annual,13020.0,13020.0,,,,https://spea.shj.ae/en/educational-institutions/schools/151,https://spea.shj.ae/media/qvbnovmj/%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D8%A7%D9%84%D8%A7%D8%AA%D9%82%D8%A7%D9%86-%D8%A7%D9%84%D8%A3%D9%85%D8%B1%D9%8A%D9%83%D9%8A%D8%A9-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5%D8%A9.pdf,
Al Kamal American Private NT School,American,Good,Sharjah - Al Ramtha,9315.0,,,14479.0,16251.0,37461.0,39600.0,AED,Annual,9315.0,39600.0,,,,https://spea.shj.ae/en/educational-institutions/schools/146,https://spea.shj.ae/media/mlam5dm0/speaschoolfees_146.pdf,
Al kamal American Private NT School -  Branch 2,American,Good,Sharjah - Halwan,12450.0,,,,,,,AED,Annual,12450.0,12450.0,,,,https://spea.shj.ae/en/educational-institutions/schools/159,https://spea.shj.ae/media/fh4di41l/%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D8%A7%D9%84%D9%83%D9%85%D8%A7%D9%84-%D8%A7%D9%84%D8%A3%D9%85%D8%B1%D9%8A%D9%83%D9%8A%D8%A9-%D8%A7%D9%84%D8%AF%D9%88%D9%84%D9%8A%D8%A9-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5%D8%A9-%D9%81%D8%B1%D8%B9-2.pdf,
Al Kamal American Private INT School - BR1,American,Good,Sharjah - Al Azra,13085.0,,,,,,,AED,Annual,13085.0,13085.0,,,,https://spea.shj.ae/en/educational-institutions/schools/207,https://spea.shj.ae/media/yqxfk0xo/%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D8%A7%D9%84%D9%83%D9%85%D8%A7%D9%84-%D8%A7%D9%84%D8%A3%D9%85%D8%B1%D9%8A%D9%83%D9%8A%D8%A9-%D8%A7%D9%84%D8%AF%D9%88%D9%84%D9%8A%D8%A9-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5%D8%A9-%D9%81%D8%B1%D8%B9-1.pdf,
Al Mawahib British Pvt. School,British,Good,Sharjah - Al Abar,,13430.0,13430.0,20500.0,31775.0,34850.0,,AED,Annual,13430.0,34850.0,,,,https://spea.shj.ae/en/educational-institutions/schools/117,https://spea.shj.ae/media/z3jdhcrf/%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D8%A7%D9%84%D9%85%D9%88%D8%A7%D9%87%D8%A8-%D8%A7%D9%84%D8%A8%D8%B1%D9%8A%D8%B7%D8%A7%D9%86%D9%8A%D8%A9-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5%D8%A9.pdf,
Al Marifa Int. Private School (G.C.S.E),British,Very Good,Sharjah - Al Yarmouk,,,,,,23330.0,25820.0,AED,Annual,23330.0,25820.0,,,,https://spea.shj.ae/en/educational-institutions/schools/201,https://spea.shj.ae/media/zddoyxkd/%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D8%A7%D9%84%D9%85%D8%B9%D8%B1%D9%81%D8%A9-%D8%A7%D9%84%D8%AF%D9%88%D9%84%D9%8A%D8%A9-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5%D8%A9-%D9%85%D9%86%D9%87%D8%A7%D8%AC-%D8%A8%D8%B1%D9%8A%D8%B7%D8%A7%D9%86%D9%8A.pdf,
Al Mustaqbal Pvt. School,American,Acceptable,Sharjah - Al Yarmouk,8100.0,,,10399.0,16206.0,,,AED,Annual,8100.0,16206.0,,,,https://spea.shj.ae/en/educational-institutions/schools/205,https://spea.shj.ae/media/sz0nneq1/speaschoolfees_205.pdf,
Al Ansar int.pvt.School,British,Very Good,Sharjah - Al Qarain 2,,22440.0,17655.0,22155.0,23970.0,30240.0,30340.0,AED,Annual,17655.0,30340.0,,,,https://spea.shj.ae/en/educational-institutions/schools/108,https://spea.shj.ae/media/ewwlzuzl/%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D8%A7%D9%84%D8%A3%D9%86%D8%B5%D8%A7%D8%B1-%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85%D9%8A%D8%A9-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5%D8%A9.pdf,
AL Najma Private School.LLC.,British,Good,Sharjah - Al Azra,,,7060.0,8480.0,11250.0,,,AED,Annual,7060.0,11250.0,,,,https://spea.shj.ae/en/educational-institutions/schools/172,https://spea.shj.ae/media/03kmlg1d/%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D8%A7%D9%84%D9%86%D8%AC%D9%85%D8%A9-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5%D8%A9.pdf,
Al Murooj (Pvt) Eng. Kindergarten & School,British,Good,Sharjah - Al Azra,,12345.0,12345.0,15205.0,16185.0,,,AED,Annual,12345.0,16185.0,,,,https://spea.shj.ae/en/educational-institutions/schools/122,https://spea.shj.ae/media/vwyofvwy/%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D9%88%D8%B1%D9%88%D8%B6%D8%A9-%D8%A7%D9%84%D9%85%D8%B1%D9%88%D8%AC-%D8%A7%D9%84%D8%A7%D9%86%D8%AC%D9%84%D9%8A%D8%B2%D9%8A%D8%A9-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5%D8%A9.pdf,
Al Marifa Int. Private School (American),American,Very Good,Sharjah - Al Yarmouk,14675.0,,,,,,,AED,Annual,14675.0,14675.0,,,,https://spea.shj.ae/en/educational-institutions/schools/135,https://spea.shj.ae/media/1cibzesp/%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D8%A7%D9%84%D9%85%D8%B9%D8%B1%D9%81%D8%A9-%D8%A7%D9%84%D8%AF%D9%88%D9%84%D9%8A%D8%A9-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5%D8%A9-%D9%85%D9%86%D9%87%D8%A7%D8%AC-%D8%A7%D9%85%D8%B1%D9%8A%D9%83%D9%8A.pdf,
Al Qemah Private School,Moe,Acceptable,Eastern Region - Khorfakkan - Al Qadisiya,4871.0,,,6420.0,7417.0,,,AED,Annual,4871.0,7417.0,,,,https://spea.shj.ae/en/educational-institutions/schools/137,https://spea.shj.ae/media/yidjjgqa/speaschoolfees_137.pdf,
Al Resalah American International School LLC,American,Good,Sharjah - Al Rahmaniyah,18010.0,,,,,,,AED,Annual,18010.0,18010.0,,,,https://spea.shj.ae/en/educational-institutions/schools/178,https://spea.shj.ae/media/2u3di55q/%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D8%A7%D9%84%D8%B1%D8%B3%D8%A7%D9%84%D8%A9-%D8%A7%D9%84%D8%A3%D9%85%D8%B1%D9%8A%D9%83%D9%8A%D8%A9-%D8%A7%D9%84%D8%AF%D9%88%D9%84%D9%8A%D8%A9-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5%D8%A91.pdf,
Al Sabah Indian Pvt. School,Indian,Acceptable,Central Region - Al Dhaid,3848.0,,,5620.0,7088.0,12859.0,12859.0,AED,Annual,3848.0,12859.0,,,,https://spea.shj.ae/en/educational-institutions/schools/103,https://spea.shj.ae/media/gp0dy3yx/speaschoolfees_103.pdf,
Al Resalah International private School of Science LLC,American,Good,Sharjah - Al Azra,15415.0,,,,,,,AED,Annual,15415.0,15415.0,,,,https://spea.shj.ae/en/educational-institutions/schools/185,https://spea.shj.ae/media/w2hkyw24/%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D8%A7%D9%84%D8%B1%D8%B3%D8%A7%D9%84%D8%A9-%D8%A7%D9%84%D8%B9%D9%84%D9%85%D9%8A%D8%A9-%D8%A7%D9%84%D8%AF%D9%88%D9%84%D9%8A%D8%A9-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5%D8%A91.pdf,
Al Rowad British private school,British,Acceptable,Sharjah - Al Azra,,,11800.0,16500.0,18800.0,18800.0,,AED,Annual,11800.0,18800.0,,,,https://spea.shj.ae/en/educational-institutions/schools/353,https://spea.shj.ae/media/432ppu11/speaschoolfees_353.pdf,
Al Rushed American Private School,American,Good,Sharjah - Muwailih,12765.0,,,,,,,AED,Annual,12765.0,12765.0,,,,https://spea.shj.ae/en/educational-institutions/schools/150,https://spea.shj.ae/media/y5idaeve/%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D8%A7%D9%84%D8%B1%D8%B4%D8%AF-%D8%A7%D9%84%D8%A3%D9%85%D8%B1%D9%8A%D9%83%D9%8A%D8%A9-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5%D8%A9.pdf,
Al Noor Int. School L.L.C,Moe,Good,Sharjah - Al Ghubaiba,4845.0,,,,,,,AED,Annual,4845.0,4845.0,,,,https://spea.shj.ae/en/educational-institutions/schools/194,https://spea.shj.ae/media/j1ihuasv/%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D8%A7%D9%84%D9%86%D9%88%D8%B1-%D8%A7%D9%84%D8%AF%D9%88%D9%84%D9%8A%D8%A9-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5%D8%A9.pdf,
AL TAFAWQ PRIVATE SCHOOL,Moe,Acceptable,Central Region - Al Dhaid,2947.0,,,5002.0,5797.0,,,AED,Annual,2947.0,5797.0,,,,https://spea.shj.ae/en/educational-institutions/schools/168,https://spea.shj.ae/media/crqntn34/speaschoolfees_168.pdf,
AL SALEH PRIVATE SCHOOL FOR GIRLS,Moe,Good,Sharjah - Al Nakheelat,,,,,,,,,Annual,,,,,,https://spea.shj.ae/en/educational-institutions/schools/163,https://spea.shj.ae/media/h5ogqbpw/%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D8%A7%D9%84%D8%B5%D8%A7%D9%84%D8%AD-%D9%84%D9%84%D8%A8%D9%86%D8%A7%D8%AA-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5%D8%A9.pdf,No fee data extracted
Al Shola Pvt. School LLC,Moe,Good,Sharjah - Al Falah,6105.0,,,,,,,AED,Annual,6105.0,6105.0,,,,https://spea.shj.ae/en/educational-institutions/schools/149,https://spea.shj.ae/media/qrinvi35/%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D8%A7%D9%84%D8%B4%D8%B9%D9%84%D8%A9-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5%D8%A9-%D8%A8%D9%86%D8%A7%D8%AA.pdf,
AL ULLA PRIVATE SCHOOL LLC.,Moe,Acceptable,Sharjah - Al Azra,4769.0,,,6754.0,7822.0,,,AED,Annual,4769.0,7822.0,,,,https://spea.shj.ae/en/educational-institutions/schools/128,https://spea.shj.ae/media/3ycdrr4w/speaschoolfees_128.pdf,
Al Wahda (P.V.T)  School LLC,American,Good,Sharjah - Al Qarain,20135.0,,,,,,,AED,Annual,20135.0,20135.0,,,,https://spea.shj.ae/en/educational-institutions/schools/129,https://spea.shj.ae/media/xyapr13l/%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D8%A7%D9%84%D9%88%D8%AD%D8%AF%D8%A9-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5%D8%A9.pdf,
Al Shola Pvt.School LLC.BR1,Moe,Good,Sharjah - Industrial Area 13,,,,,,,,,Annual,,,,,,https://spea.shj.ae/en/educational-institutions/schools/179,https://spea.shj.ae/media/4n5n2l3a/%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D8%A7%D9%84%D8%B4%D8%B9%D9%84%D8%A9-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5%D8%A9-%D9%81%D8%B1%D8%B9-1.pdf,No fee data extracted
Alsedra Private School,Moe,Acceptable,Eastern Region - Kalba - Al Musalla,6560.0,,,7900.0,9500.0,13980.0,15520.0,AED,Annual,6560.0,15520.0,,,,https://spea.shj.ae/en/educational-institutions/schools/427,https://spea.shj.ae/media/bevac4fy/speaschoolfees_427.pdf,
Ambassador School LLC,Indian,Very Good,Sharjah - Muwailih,14145.0,,,,,,,AED,Annual,14145.0,14145.0,,,,https://spea.shj.ae/en/educational-institutions/schools/188,https://spea.shj.ae/media/04slo3vx/%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D8%A7%D9%85%D8%A8%D8%A7%D8%B3%D8%A7%D8%AF%D9%88%D8%B1-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5%D8%A9.pdf,
Al Zehour Private School LLC,American,Good,Sharjah - Muwailih,13345.0,,,,,,,AED,Annual,13345.0,13345.0,,,,https://spea.shj.ae/en/educational-institutions/schools/113,https://spea.shj.ae/media/plykqha2/%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D8%A7%D9%84%D8%B2%D9%87%D9%88%D8%B1-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5%D8%A9.pdf,
Amity Pvt. School LLC,Indian,Very Good,Sharjah - Muwailih,14760.0,,,21628.0,24293.0,25420.0,25420.0,AED,Annual,14760.0,25420.0,,,,https://spea.shj.ae/en/educational-institutions/schools/217,https://spea.shj.ae/media/hxhnsqx3/speaschoolfees_217.pdf,
American Gulf School L.L.C,American,Good,Sharjah - Al Rahmaniyah 6,40640.0,,,55040.0,64240.0,72040.0,75440.0,AED,Annual,40640.0,75440.0,,,,https://spea.shj.ae/en/educational-institutions/schools/412,https://spea.shj.ae/media/zf1amr2f/speaschoolfees_412.pdf,
